texts,labels
定期的な健康チェックで、重大な健康問題は見つからなかった。,0
運動中の軽い捻挫を経験したが、現在は完全に回復している。,0
患者は腹部の膨満感を訴えており、消化管の詳細な検査が推奨される。,1
肺のレントゲンで小さなしこりが見つかり、詳細な検査が必要。,1
最近の血液検査ですべての数値が正常範囲内。,0
定期検診で特に異常は見られず、健康状態は良好。,0
患者は過去に頭痛を訴えたが、現在は症状はない。,0
患者は最近、頭痛と視覚障害を経験している。,1
患者は適度な運動と栄養バランスの取れた食事を続けている。,0
最近のレントゲン検査では、骨折や骨の異常は見られなかった。,0
定期的な運動により、患者の体力と健康状態が向上している。,0
最近のCTスキャンで、患者の腫瘍マーカーが正常値を示している。,0
定期的な歯科検診で、口腔内の健康が確認された。,0
口内の潰瘍が治らず、口腔癌の可能性がある。,1
肺のCTスキャンで異常な影が見つかり、さらなる検査が必要。,1
患者は過去に皮膚がんの治療を受けており、現在は回復している。,1
定期的な眼科検診で、視力に問題は見つからなかった。,0
目の異常な症状と視力の低下があり、眼球腫瘍の可能性がある。,1
最近の健康診断で、糖尿病の兆候は見られなかった。,0
定期的な身体検査で、患者は高血圧の傾向があるが、現在はコントロール下にある。,0
患者は慢性的な胃の不調と体重減少を訴えている。,1
皮膚の異常な変化としこりが見つかり、皮膚がんの可能性がある。,1
肝臓のCTスキャンで腫瘍が見つかった。,1
患者は健康的な食事を心がけており、体重は安定している。,0
患者は時々軽い胃痛を経験するが、深刻な問題はない。,0
患者は軽度の不眠症を抱えているが、日常生活に大きな支障はない。,0
患者は昨年、前立腺がんの治療を受けた。,1
患者は慢性的な胸の痛みと咳を訴えている。,1
最近の血液検査では、すべての数値が正常範囲内であった。,0
最近の身体検査で、患者は全体的に健康であると評価された。,0
患者は膝の痛みを訴えたが、重篤な問題はないと診断された。,0
患者は偶に軽い頭痛を訴えるが、深刻な健康問題は報告されていない。,0
腹部の痛みと消化不良が続いており、胃癌の可能性が検討されている。,1
患者は最近、疲労感と体重減少を経験している。,1
子宮頸がんの定期検査で異常な細胞が見つかった。,1
口内の潰瘍が治らず、口腔癌の疑いがある。,1
患者は定期的にビタミンとミネラルを摂取しており、体調は良好。,0
患者は健康的な生活を送っており、定期的な身体活動を行っている。,0
最近の血液検査で、すべての数値が正常範囲内であった。,0
最近の身体検査で、健康に関する懸念事項はなかった。,0
腹部の膨満感と不快感があり、腸癌の可能性がある。,1
患者は長期間の声のかすれを経験しており、喉頭癌の検査が推奨された。,1
患者は背中の痛みを訴えており、膵臓癌の疑いがある。,1
予防接種を受けており、感染症のリスクは低い。,0
患者は時折軽い偏頭痛を経験するが、日常生活に支障はない。,0
腫瘍マーカーのレベルが上昇しており、詳細な検査が必要。,1
患者は体重の急激な減少と夜間の発汗を経験している。,1
最近のマンモグラフィーで異常な結果が出た。,1
肝臓のエコーで異常な影が見つかった。,1
患者は健康的な生活習慣を維持しており、特に健康上の問題はない。,0
最近の検査で甲状腺に腫瘍が見つかった。,1
定期検診で全ての数値が正常範囲内であり、健康状態は良好。,0
患者は最近の健康診断で良好な結果を得た。,0
最近のマンモグラフィで異常な影が見つかった。,1
慢性病の家族歴はなく、健康状態は一般的に良好。,0
頭痛と視覚障害があり、脳腫瘍の疑いがある。,1
乳房にしこりが見つかり、乳がんの検査が推奨された。,1
患者は年に一度の健康診断を受けており、これまで大きな問題は見つかっていない。,0
患者は最近、体重減少と食欲不振を経験している。,1
患者は健康診断で優れた結果を得ており、現在特に問題はない。,0
患者は風邪をひきやすいが、それ以外の重篤な健康問題はない。,0
甲状腺の腫れがあり、詳細な検査が推奨される。,1
最近の血液検査で、全ての数値が正常範囲内であった。,0
患者は数ヶ月間にわたり持続する咳と胸の痛みを報告している。,1
患者は過去に軽い風邪を経験したが、現在は完全に回復している。,0
定期的な健康診断で、患者の肺に異常な影が見つかった。,1
運動と健康的な食生活により、全体的な健康状態が改善している。,0
患者は過去に軽度のアレルギーを経験したが、現在は問題ない。,0
患者は定期的な運動を行い、健康的な食生活を心がけている。,0
患者は過去に胃腸炎を経験したが、現在は特に問題はない。,0
過去の放射線治療のため、現在は定期的に健康診断を受けている。,0
患者は過去にアレルギー性の皮膚炎を経験しているが、現在は症状が見られない。,0
最近の血液検査で白血球の数値が異常に高かった。,1
患者は健康診断で良好な結果を得ており、特に問題はない。,0
患者は健康診断で心臓の健康が確認され、問題は報告されていない。,0
患者は過去に足の捻挫を経験したが、現在は完全に回復している。,0
膀胱の不調を訴えており、詳細な検査で膀胱癌の可能性がある。,1
定期的な皮膚検査で新しいしこりが見つかり、皮膚がんの疑いがある。,1
慢性的な咳と呼吸困難があり、肺癌の可能性がある。,1
健康チェックで心臓の健康が良好であると評価された。,0
現在、慢性疾患や重大な健康問題は報告されていない。,0
患者は定期的に健康診断を受け、現在は健康上の問題はない。,0
運動とバランスの取れた食事により、患者の健康は一層良好に。,0
定期的な皮膚検査で異常なモールが見つかった。,1
最近の健康診断で特に問題は見つからず、患者は良好な健康状態を維持している。,0
患者は軽度のアレルギーを持っているが、日常生活に影響はない。,0
患者は定期的に眼科検診を受けており、視力に問題はない。,0
患者は頻繁に鼻血が出ると報告しており、血液検査が推奨された。,1
患者は季節性のアレルギーを持っているが、症状は軽度である。,0
骨の痛みと脆弱性があり、骨髄腫の疑いがある。,1
定期的な運動とバランスの取れた食事で、健康を維持している。,0
定期的な眼科検診で、目の健康が保たれていることが確認された。,0
